#type;avg;std;min;p5;p10;p50;p67;p75;p80;p85;p90;p95;p99;p999;p9999;QPS
read;304.4;131.1;118.1;182.7;204.9;286.8;315.6;332.8;344.9;372.7;426.4;474.5;586.8;2081.6;3765.4;4066.0
read;438.6;215.7;118.1;196.9;232.5;419.9;506.0;544.3;572.6;605.0;646.5;718.8;953.0;1945.7;5082.8;8974.0
read;475.4;227.9;109.4;193.3;229.8;447.8;547.8;603.0;643.8;690.0;745.5;838.8;1022.1;2310.2;4114.0;13917.7
read;517.3;247.3;109.4;190.6;230.1;485.3;595.2;659.8;704.4;757.9;833.7;935.1;1146.3;2290.8;3755.2;18951.7
read;518.6;268.9;109.4;185.7;217.1;468.4;600.3;682.3;739.7;805.6;888.7;981.8;1164.4;2479.4;4067.0;24092.2
read;517.7;279.5;109.4;181.8;211.5;464.2;598.2;680.4;738.6;808.5;897.6;995.5;1188.1;2217.1;5645.4;29042.6
read;509.4;301.9;109.4;178.2;205.7;466.4;588.1;655.1;702.6;760.1;840.5;947.0;1216.1;3437.4;6875.2;33938.6
read;493.1;303.6;109.4;174.8;198.6;434.5;568.0;654.8;716.1;784.3;862.6;957.6;1183.9;2241.5;8552.2;39061.2
read;507.1;268.9;109.4;179.7;205.9;460.7;583.2;655.7;707.7;775.0;869.9;989.6;1254.5;2372.2;3610.0;44060.4
read;504.7;285.5;101.3;178.0;203.7;457.7;579.3;647.2;700.1;769.7;867.9;1018.3;1309.6;2287.2;6011.7;49145.8
read;495.8;312.1;93.8;178.4;203.4;428.4;556.3;636.7;699.2;779.1;878.8;1024.4;1262.1;3379.9;6928.2;54117.8
read;514.3;279.7;101.3;184.1;213.7;455.2;581.9;664.6;721.5;789.8;882.1;1031.6;1348.8;2116.9;3906.6;58942.8
read;490.5;275.8;101.3;183.6;212.8;434.3;548.1;626.7;693.0;769.0;851.3;972.8;1216.7;1809.5;5834.6;64002.8
read;908.8;322.4;109.4;631.0;672.1;806.3;862.8;912.6;976.7;1324.7;1476.0;1587.8;1741.6;2072.6;7396.7;68499.8
read;922.4;320.6;101.3;646.1;689.9;819.7;872.0;923.7;990.4;1336.3;1502.3;1613.9;1803.8;2382.6;5620.9;68896.0
read;962.9;325.3;101.3;684.7;727.8;862.3;920.3;959.9;1008.7;1305.5;1566.1;1692.8;1869.4;2273.0;6185.1;66380.6
