#type;avg;std;min;p5;p10;p50;p67;p75;p80;p85;p90;p95;p99;p999;p9999;QPS
read;2296.5;949.7;118.1;226.4;310.5;2410.2;2483.6;2518.2;2539.7;2561.3;3782.1;3932.9;4053.5;5055.6;12919.3;3993.2
read;1888.1;1165.7;109.4;212.6;252.5;2394.3;2483.2;2525.0;2551.1;2641.1;3406.8;3681.4;3977.2;4763.0;7709.9;9119.8
read;1630.4;1198.8;109.4;203.8;250.4;2291.3;2470.9;2534.1;2585.2;2684.1;2967.2;3441.1;3752.2;4073.0;12678.6;13983.2
read;1416.3;1152.6;109.4;202.7;239.7;582.9;2422.9;2513.9;2573.6;2662.7;2751.9;3156.0;3606.1;4064.2;9870.2;19039.8
read;1230.8;1117.1;109.4;213.8;257.3;592.0;2241.5;2426.0;2518.5;2615.0;2715.7;2920.1;3969.0;5784.5;11091.3;23959.2
read;1095.5;1070.4;109.4;232.1;281.6;618.0;793.4;1361.8;2385.0;2540.0;2676.4;2870.3;5106.9;5661.6;5978.9;28961.1
read;2011.4;2268.6;137.8;715.8;771.0;961.4;1086.7;1587.5;2037.9;4881.8;5111.2;8498.2;9635.2;10219.7;14533.6;31619.4
read;1983.4;2158.0;202.4;715.0;769.0;946.4;1085.9;1648.6;4446.7;4874.0;5069.6;5946.1;9460.5;10189.8;13920.9;32218.2
read;2008.7;2195.8;137.8;721.3;775.8;960.9;1101.6;1656.0;4432.7;4883.5;5096.8;6454.8;9509.3;10206.7;11819.8;31773.4
read;1980.3;2164.5;127.6;721.1;770.2;939.8;1082.0;1643.5;4426.7;4871.6;5068.9;5941.6;9481.2;10204.0;16217.9;32260.4
read;2002.8;2288.4;187.4;731.4;780.7;952.4;1074.8;1566.1;1934.6;4857.3;5108.9;8780.5;9685.0;10210.0;14182.6;31907.6
read;2061.8;2174.2;148.8;755.3;811.2;992.5;1137.9;1750.3;4753.1;4927.0;5100.8;5973.2;9480.7;10199.3;11572.3;30985.6
read;1991.5;2236.7;137.8;722.5;775.1;949.5;1082.4;1625.9;2000.6;4852.5;5082.8;8438.8;9597.0;10206.4;13352.8;32078.6
read;2019.5;2239.5;202.4;727.9;786.4;972.3;1092.8;1630.2;2281.4;4886.9;5097.9;8366.3;9599.0;10201.7;14670.7;31653.5
read;1992.7;2265.1;160.7;732.0;779.4;943.2;1062.7;1590.3;1949.3;4866.4;5098.3;8701.2;9644.4;10206.5;12909.2;32055.6
read;1904.7;2231.6;118.1;681.8;720.6;892.1;1022.3;1510.7;1762.7;4778.1;5077.3;8367.6;9564.8;10203.2;16034.3;33566.2
