#type;avg;std;min;p5;p10;p50;p67;p75;p80;p85;p90;p95;p99;p999;p9999;QPS;target
read;1944.1;2468.1;118.1;247.8;535.3;1811.2;1857.3;1879.1;1923.0;1998.0;3744.7;3949.4;10150.9;31931.6;37107.7;4948.4;5000
read;1675.8;1860.7;109.4;225.4;269.7;1814.1;1892.3;1957.8;1998.7;2048.8;3269.1;3700.1;4068.9;30136.3;36094.2;9933.0;10000
read;1452.3;1472.9;109.4;213.0;272.2;1779.8;1892.1;1977.7;2031.2;2113.9;2205.1;3420.7;3824.3;22753.8;32038.7;14914.4;15000
read;1279.0;1177.4;109.4;207.9;253.5;840.7;1865.4;1973.9;2050.6;2122.3;2194.0;3114.6;3520.5;13547.9;31627.8;19953.2;20000
read;1185.8;1277.0;109.4;215.8;260.1;643.7;1825.6;1948.3;2051.1;2123.9;2196.6;2771.4;3453.8;17546.7;32276.8;25038.6;25000
read;1164.1;2020.7;109.4;222.1;267.1;636.4;1068.3;1854.1;1980.7;2097.0;2191.7;2515.2;4664.8;31961.4;37886.1;30141.8;30000
read;2424.5;4052.6;148.8;725.0;782.6;980.9;1174.5;1809.7;4708.9;4931.7;5123.3;8525.1;29830.2;37363.6;50160.5;32629.8;35000
read;2418.7;4103.4;160.7;725.6;776.0;966.1;1142.7;1720.7;4477.7;4916.0;5323.3;8898.6;30101.9;37155.6;50309.6;32856.2;40000
read;2338.0;4028.7;127.6;699.7;753.5;931.3;1088.2;1648.4;2134.6;4878.0;5231.7;8802.3;29424.3;37250.9;49299.4;33726.2;45000
read;2398.7;4025.4;137.8;715.2;769.4;970.3;1157.3;1743.3;4573.7;4920.9;5194.4;8767.5;29353.6;37369.3;48277.8;32929.8;50000
read;2381.1;4037.0;148.8;703.4;757.9;958.1;1161.7;1716.1;4490.1;4898.1;5172.3;8804.4;29543.0;37309.9;50411.6;33185.8;55000
read;2462.4;4135.3;160.7;733.7;787.9;990.5;1184.0;1828.7;4769.3;4954.5;5228.2;8719.5;30169.6;37609.6;56029.1;32319.2;60000
read;2431.8;4013.0;187.4;742.2;793.0;982.8;1163.6;1764.4;4714.2;4955.1;5425.7;8924.9;29397.1;36486.1;43594.6;32391.4;65000
read;2381.1;4066.1;187.4;702.4;759.6;953.6;1128.4;1689.7;4452.3;4905.0;5267.4;8854.5;29513.6;37189.2;51340.7;33404.2;70000
read;2498.4;4210.6;202.4;746.1;803.0;995.8;1182.5;1777.2;4714.1;4969.8;5577.0;9039.7;30293.3;37248.0;50042.5;31956.8;75000
read;2457.8;4127.5;118.1;724.1;785.4;990.7;1174.8;1785.2;4725.5;4950.8;5382.5;8967.0;30142.4;37435.5;49003.5;32280.5;80000
