#type;avg;std;min;p5;p10;p50;p67;p75;p80;p85;p90;p95;p99;p999;p9999;QPS
read;360.7;136.0;109.4;194.3;232.8;349.2;386.4;409.0;428.5;453.5;488.0;547.8;694.1;1272.5;3735.8;3962.0
read;448.8;206.1;101.3;193.3;243.2;416.1;494.9;545.2;579.8;618.8;667.6;740.7;958.4;2484.6;3574.6;8997.8
read;495.4;267.7;109.4;190.2;227.9;447.8;567.5;629.2;672.1;722.1;788.7;899.2;1100.1;3160.9;5008.2;13909.2
read;537.9;279.8;109.4;190.1;232.1;504.4;624.5;686.1;729.7;785.0;864.2;969.4;1174.1;2383.8;5816.9;18970.2
read;556.0;275.3;101.3;190.7;230.6;525.0;652.3;717.0;764.5;827.2;907.2;1012.5;1275.8;2078.9;4527.1;23882.2
read;560.5;291.9;101.3;188.3;226.9;529.7;663.5;728.2;778.5;841.1;919.0;1034.9;1283.5;2000.4;5505.4;29158.6
read;541.6;296.0;101.3;179.9;212.8;506.1;637.4;704.1;752.3;816.9;899.4;1014.3;1279.7;2511.6;4746.7;34082.2
read;529.3;292.1;101.3;177.3;208.6;495.8;627.0;690.8;736.3;794.2;870.9;987.4;1238.7;2072.5;8262.5;38910.2
read;529.8;288.0;101.3;179.7;212.4;494.4;623.8;689.2;736.8;794.1;868.5;985.2;1243.9;2312.8;5884.2;44218.0
read;522.0;269.7;101.3;184.1;216.1;487.2;611.9;676.4;723.0;779.7;852.9;965.9;1204.5;2793.2;4266.7;49242.4
read;532.6;272.7;101.3;188.4;224.4;498.2;621.9;687.2;733.6;790.0;863.7;980.3;1253.9;2302.7;4397.3;54007.6
read;550.0;278.1;101.3;198.1;237.5;513.8;635.0;699.9;748.5;808.4;885.7;1007.4;1381.4;1945.3;5253.0;58979.6
read;1006.0;333.2;127.6;705.5;759.9;914.2;975.7;1011.4;1059.1;1185.8;1604.7;1770.7;1989.3;2713.5;7007.1;62749.8
read;1001.5;321.7;109.4;724.9;770.8;907.5;962.9;1001.4;1039.5;1153.9;1619.2;1766.1;1965.8;2372.4;6501.0;63691.8
read;997.0;328.2;109.4;710.1;760.5;903.0;958.6;1000.6;1043.6;1179.4;1604.4;1748.6;1958.6;2370.3;7381.0;64120.2
read;1019.2;336.9;93.8;727.0;779.8;927.1;985.5;1015.8;1062.7;1166.8;1632.9;1797.1;1996.9;2539.9;7203.1;62711.0
