#type;avg;std;min;p5;p10;p50;p67;p75;p80;p85;p90;p95;p99;p999;p9999;QPS
read;394.3;482.0;118.1;184.5;218.7;330.9;374.5;402.2;423.9;449.9;485.2;545.2;2459.7;6409.8;7485.5;4001.0
read;504.3;669.2;109.4;179.7;211.6;413.7;502.9;553.1;586.1;625.2;678.0;783.7;3289.5;9199.7;15349.4;9056.2
read;574.7;638.2;109.4;177.3;216.5;490.1;597.6;654.0;693.8;746.4;817.1;930.1;3107.5;8582.5;9454.7;14080.0
read;544.9;538.6;109.4;173.9;199.6;469.9;592.2;662.8;713.5;772.3;847.5;960.4;2173.8;7199.6;10067.6;18786.6
read;588.1;610.5;109.4;176.0;206.2;509.0;636.6;707.1;761.6;832.2;923.0;1061.5;2113.1;8522.0;13435.7;23898.2
read;626.2;670.6;109.4;180.5;214.3;538.2;666.0;732.2;784.3;852.5;942.1;1088.9;3748.7;8791.9;10664.2;28956.2
read;627.6;568.2;109.4;182.5;220.0;562.8;699.7;766.8;815.4;876.7;962.6;1101.4;2291.9;7622.6;9568.5;34025.8
read;615.4;493.3;109.4;188.2;227.2;562.0;705.0;777.5;826.8;884.7;964.5;1092.2;1622.8;7820.6;9471.9;39071.3
read;664.1;572.2;109.4;193.8;239.0;590.4;741.0;821.1;873.1;940.3;1027.5;1187.4;2214.7;7617.9;10083.3;43872.9
read;609.4;460.3;109.4;192.5;232.3;544.9;685.5;767.2;823.4;889.0;981.7;1151.8;1736.2;6728.2;9309.0;48823.3
read;769.9;513.0;101.3;246.6;331.2;728.2;871.0;932.5;977.9;1030.8;1124.7;1451.1;2008.6;7720.8;9295.4;54059.5
read;1175.1;527.3;109.4;866.4;906.4;1048.4;1097.1;1145.5;1178.5;1274.9;1836.0;2053.0;2547.1;8730.1;10213.3;54324.4
read;1175.4;517.5;127.6;874.3;910.3;1051.4;1096.4;1141.6;1173.5;1262.0;1876.8;2066.5;2453.3;8165.5;10054.4;54303.0
read;1122.9;523.3;118.1;816.3;860.3;992.5;1048.0;1082.7;1116.7;1258.6;1796.6;1969.1;2347.6;8061.9;10237.4;56867.0
read;1206.4;577.5;118.1;886.0;933.3;1066.1;1117.6;1158.5;1184.2;1275.8;1911.5;2106.3;2832.0;8332.1;9620.1;52999.0
read;1197.8;574.8;101.3;881.1;927.0;1065.5;1117.7;1158.9;1184.6;1272.8;1887.9;2093.8;2557.5;8839.6;12272.4;53380.2
