#type;avg;std;min;p5;p10;p50;p67;p75;p80;p85;p90;p95;p99;p999;p9999;QPS;target
read;2607.7;3158.6;118.1;251.3;362.2;2840.9;2923.2;2961.9;2986.1;3135.3;3802.5;3983.2;19978.8;34615.0;42886.0;4989.4;5000
read;2119.2;2018.9;118.1;216.3;256.3;2832.3;2932.2;2979.3;3053.5;3165.7;3509.8;3741.8;4060.3;30783.0;37688.7;9938.4;10000
read;1783.3;1745.9;109.4;211.4;258.4;1813.2;2910.2;2979.2;3051.2;3136.5;3221.8;3469.1;3962.3;23899.0;32283.1;15007.4;15000
read;1475.3;1706.2;101.3;218.7;261.1;595.8;2805.6;2904.7;2966.7;3049.0;3146.0;3280.1;3995.4;25181.7;35108.9;20066.2;20000
read;1466.0;2872.8;109.4;240.1;290.6;638.7;835.1;2768.2;2894.7;3019.8;3148.9;3402.2;5851.9;33853.2;44663.3;25063.4;25000
read;1437.1;3116.0;109.4;247.5;307.3;657.8;829.8;1062.8;2776.4;2962.3;3126.6;3411.5;9348.6;35564.6;40415.1;30062.4;30000
read;2378.1;4046.5;255.0;713.4;762.4;940.9;1131.3;1734.2;4543.6;4908.7;5151.5;8483.3;30032.3;37134.5;48102.4;33179.6;35000
read;2393.8;4064.1;187.4;707.8;760.6;952.4;1149.1;1735.8;4586.3;4911.6;5124.2;8502.8;30218.2;37086.1;48963.9;33237.6;40000
read;2452.2;4136.3;127.6;735.5;786.4;979.6;1157.4;1782.8;4750.5;4950.6;5330.8;8914.0;30241.5;37327.2;48990.2;32458.0;45000
read;2418.1;4134.4;160.7;712.3;764.9;957.0;1120.7;1693.4;4437.2;4928.4;5417.8;8968.9;30194.4;37020.8;46154.1;32929.7;50000
read;2352.7;4002.4;127.6;653.3;720.3;947.5;1138.0;1705.2;4576.3;4917.6;5150.9;8628.3;29363.6;37316.5;50545.6;33577.8;55000
read;2380.5;4142.5;173.5;707.8;757.9;933.9;1089.9;1648.7;2123.3;4903.8;5379.5;9029.5;30275.1;37033.0;46675.3;33436.4;60000
read;2344.1;4038.2;148.8;708.8;754.4;921.6;1082.4;1655.8;4444.4;4910.3;5241.2;8814.6;29239.0;37483.6;52587.9;33744.8;65000
read;2433.8;4112.0;173.5;734.0;780.9;964.6;1127.5;1741.9;4588.1;4945.9;5479.3;9020.8;29884.2;37258.4;49249.5;32537.4;70000
read;2439.7;4195.6;148.8;727.7;779.7;963.1;1104.5;1704.0;4468.2;4937.1;5535.4;9036.4;30309.5;37290.2;49835.4;32728.0;75000
read;2476.7;4097.5;218.6;749.1;799.3;992.3;1178.4;1840.8;4775.4;4967.7;5342.7;8935.4;30194.0;36814.1;48264.7;32008.2;80000
