#type;avg;std;min;p5;p10;p50;p67;p75;p80;p85;p90;p95;p99;p999;p9999;QPS
read;1593.0;958.8;118.1;259.0;1201.2;1338.6;1375.3;1414.9;1464.1;1564.4;3816.0;3946.1;4050.2;4968.8;6964.3;4053.0
read;1311.4;942.5;109.4;210.8;247.9;1318.9;1379.8;1436.0;1476.1;1540.3;1732.8;3726.6;4008.6;4128.2;11311.9;8922.2
read;1146.4;865.5;109.4;217.2;264.0;1278.7;1374.3;1449.2;1503.6;1562.4;1642.0;3366.3;3760.7;4058.1;6146.6;13942.8
read;1054.5;795.7;109.4;215.4;266.1;1202.8;1364.4;1466.4;1527.3;1580.1;1673.9;3031.7;3459.1;4088.3;5724.4;18989.2
read;1005.7;779.5;109.4;214.0;261.3;636.8;1339.2;1470.8;1539.1;1594.8;1704.8;2823.8;3348.8;5354.7;7848.8;23853.2
read;971.6;826.3;101.3;221.1;270.0;636.4;1246.0;1395.0;1505.6;1578.4;1707.5;2557.5;4813.6;5791.7;8386.2;28965.0
read;1997.1;2254.6;137.8;714.7;768.7;953.1;1076.3;1606.4;2002.4;4868.4;5103.6;8590.5;9604.4;10199.7;10728.7;31841.2
read;2016.1;2262.2;187.4;724.8;779.7;962.1;1088.7;1650.0;2048.6;4869.8;5106.9;8552.6;9640.0;10207.8;13479.6;31635.2
read;1985.3;2169.0;148.8;728.0;775.3;947.1;1072.9;1667.4;4430.1;4873.4;5078.8;5949.0;9466.6;10196.7;15315.8;32173.4
read;1954.6;2173.3;118.1;702.7;752.8;933.1;1063.5;1613.6;2062.6;4835.8;5077.7;6092.0;9458.9;10182.3;10841.8;32672.6
read;1992.8;2228.1;148.8;722.1;775.5;957.3;1075.5;1638.7;2018.5;4849.7;5081.7;8400.1;9531.1;10193.2;15303.1;32024.6
read;1913.1;2165.4;202.4;696.4;740.1;906.6;1029.8;1574.6;1868.5;4758.1;5055.7;6262.3;9444.2;10177.9;13183.4;33410.1
read;2031.5;2207.3;137.8;749.6;798.5;977.0;1096.5;1706.7;4449.1;4886.7;5097.3;8191.7;9548.8;10191.1;10733.1;31463.6
read;1988.8;2232.0;173.5;715.1;768.8;952.0;1077.9;1633.1;2018.5;4842.5;5088.6;8415.0;9538.0;10194.6;11698.4;32119.4
read;1981.7;2111.9;148.8;708.5;764.0;957.2;1097.8;1687.4;4482.4;4867.5;5074.4;5861.3;9410.1;10177.7;12576.9;32251.4
read;2042.3;2231.7;148.8;732.1;788.3;983.3;1121.4;1688.1;4447.7;4895.8;5104.0;8410.5;9527.6;10202.9;11135.5;31296.8
