#type;avg;std;min;p5;p10;p50;p67;p75;p80;p85;p90;p95;p99;p999;p9999;QPS
read;431.1;653.4;127.6;204.3;238.8;347.7;394.8;427.2;454.6;491.4;538.7;607.7;2515.1;9143.1;12809.6;3998.6
read;486.7;559.6;118.1;184.7;218.0;404.5;505.4;563.5;598.6;636.5;682.1;753.1;2556.5;7603.9;10326.1;9108.4
read;548.1;562.6;109.4;176.6;210.6;463.6;603.5;672.1;716.2;764.9;827.2;929.8;2169.2;7795.5;9895.3;14130.0
read;548.1;525.2;109.4;176.6;211.2;466.3;606.2;687.1;737.9;794.0;867.0;982.2;1442.6;8616.6;9467.3;18922.2
read;564.3;528.7;101.3;175.9;204.9;469.1;616.8;708.0;768.4;833.2;913.6;1048.0;1912.3;7310.0;8512.5;23892.0
read;563.0;543.5;109.4;174.6;199.0;463.7;618.8;720.1;789.1;855.1;931.4;1055.4;1581.2;7812.4;8920.0;29049.2
read;602.0;574.4;109.4;177.0;206.2;510.0;658.0;742.2;811.8;892.1;988.1;1144.7;2160.4;8118.1;9961.4;33983.8
read;651.9;657.7;109.4;183.8;218.4;559.8;707.4;790.4;857.7;933.3;1026.5;1206.9;2607.6;9064.4;12909.6;38871.7
read;640.0;601.4;109.4;185.7;220.3;541.9;697.0;787.2;856.7;932.9;1034.6;1235.0;2262.0;8556.4;10028.6;43957.6
read;529.9;468.6;101.3;175.7;199.8;449.8;584.7;675.0;742.8;818.7;914.7;1042.8;1385.5;7569.5;9224.8;49103.4
read;586.2;536.1;109.4;181.3;212.3;495.1;640.5;735.1;799.7;875.1;1001.0;1169.5;1650.5;8038.9;9996.2;53920.4
read;1151.5;547.0;109.4;856.2;892.2;1019.1;1072.6;1097.8;1144.3;1226.3;1821.7;2002.3;2343.8;8960.8;10614.4;55323.2
read;1004.3;472.4;118.1;699.6;752.3;890.0;939.8;986.7;1018.7;1255.4;1621.0;1757.8;2017.7;7822.5;11127.9;62396.8
read;1094.3;504.5;101.3;803.7;837.1;968.5;1014.8;1059.6;1090.9;1207.8;1756.7;1913.5;2281.5;7823.9;10480.2;58368.4
read;983.4;500.4;118.1;687.9;722.6;847.9;903.9;939.9;1010.9;1403.5;1571.7;1698.3;2125.1;8085.5;9464.1;64962.8
read;1122.6;554.6;127.6;815.4;857.4;991.3;1047.0;1081.8;1112.8;1222.6;1776.1;1958.5;2446.1;8763.9;11234.1;56919.8
