#type;avg;std;min;p5;p10;p50;p67;p75;p80;p85;p90;p95;p99;p999;p9999;QPS
read;312.7;223.1;118.1;182.5;210.2;292.4;321.3;339.9;353.7;370.8;397.2;447.1;646.7;4397.9;6863.2;3996.6
read;401.7;243.5;118.1;191.3;225.8;366.9;433.8;478.1;511.3;548.5;592.3;654.1;842.2;3400.5;7223.0;8977.6
read;459.7;246.2;109.4;195.8;233.2;414.9;516.6;573.5;609.7;648.6;702.4;795.5;1087.1;3085.7;3983.5;14091.0
read;487.3;259.2;109.4;191.8;228.6;436.9;558.5;620.8;663.2;715.1;785.8;890.4;1129.3;2896.8;4722.3;19050.8
read;521.8;247.1;109.4;193.9;236.0;499.9;607.7;660.5;698.5;748.3;807.7;901.4;1139.7;2664.7;3587.8;23915.0
read;518.4;260.2;109.4;186.0;223.3;492.4;609.6;664.3;704.3;754.6;821.8;922.1;1191.4;2691.7;4943.3;28932.8
read;512.0;259.1;109.4;181.2;214.0;481.5;598.4;657.5;700.7;752.1;821.1;923.3;1213.8;2246.7;4401.1;33892.6
read;511.2;262.2;109.4;180.2;211.8;478.9;600.2;658.2;701.6;751.9;823.7;929.9;1241.6;2507.7;4097.7;39037.2
read;507.7;252.5;101.3;180.9;213.3;474.2;595.7;655.5;697.2;746.1;811.8;921.3;1209.1;2362.9;3816.0;44170.6
read;527.5;278.0;101.3;188.0;223.2;493.4;611.6;677.9;723.3;774.6;843.9;960.3;1281.3;2284.6;5300.3;48991.8
read;520.2;310.5;93.8;190.7;221.8;472.3;591.3;660.0;710.2;770.1;854.2;997.9;1339.5;2462.6;7373.6;54068.8
read;535.4;275.8;101.3;199.7;235.0;495.9;613.2;678.5;728.7;788.7;866.6;994.2;1325.7;1999.6;5066.6;58957.9
read;963.5;330.7;127.6;650.6;707.5;873.1;938.4;992.2;1042.5;1203.7;1528.4;1701.2;1932.5;2363.0;6491.1;63523.4
read;1030.8;343.0;101.3;725.6;783.3;936.1;1000.0;1043.8;1083.6;1187.7;1647.2;1818.8;2023.1;2593.4;7350.6;61987.5
read;1038.6;325.8;109.4;749.3;794.5;941.3;1004.0;1049.0;1086.7;1202.2;1657.0;1820.7;2023.0;2553.7;4559.2;61558.9
read;1007.2;344.2;109.4;709.6;762.5;910.5;972.2;1011.6;1062.9;1188.2;1625.4;1773.6;1994.3;2541.3;8304.0;63468.4
