#type;avg;std;min;p5;p10;p50;p67;p75;p80;p85;p90;p95;p99;p999;p9999;QPS;target
read;314.0;394.1;118.1;179.4;198.3;278.0;308.1;325.0;338.7;355.5;378.4;430.9;1070.1;5908.4;15680.9;4933.8;5000
read;387.9;437.6;109.4;185.4;209.2;347.9;409.2;451.1;484.2;524.6;569.7;631.0;805.5;4886.7;19753.8;9954.8;10000
read;449.3;523.2;109.4;185.2;213.6;399.7;492.4;549.7;589.8;630.7;680.6;761.7;1013.1;5469.4;31332.1;14907.0;15000
read;476.1;271.8;109.4;188.2;217.0;438.3;548.9;606.1;644.0;688.6;743.1;830.7;1037.4;3438.0;8272.8;19946.8;20000
read;481.4;326.0;101.3;180.8;207.3;437.4;547.3;609.3;652.5;704.6;772.4;875.0;1169.8;3207.1;11462.8;24964.2;25000
read;502.4;307.1;101.3;186.9;214.4;451.8;586.6;650.3;696.2;754.9;836.4;944.7;1203.1;2692.2;7261.8;29966.6;30000
read;518.9;382.5;101.3;182.5;211.1;479.2;600.2;660.4;703.4;755.1;825.4;932.3;1282.3;4361.7;11776.4;34887.6;35000
read;505.4;322.2;101.3;180.3;209.3;474.1;593.1;650.9;690.2;739.5;806.4;913.2;1155.6;3004.0;11424.0;40080.6;40000
read;510.6;347.9;101.3;180.6;209.1;471.1;596.5;658.5;701.5;753.4;827.9;940.7;1222.8;3096.5;11817.6;44874.6;45000
read;531.0;369.0;101.3;184.6;219.8;488.8;613.5;679.5;725.3;780.2;854.9;976.4;1281.9;3019.6;15564.0;50062.6;50000
read;531.2;330.9;101.3;191.8;227.4;493.5;615.3;678.8;725.8;782.1;854.0;963.6;1243.1;2531.4;11705.1;54867.4;55000
read;545.8;326.5;109.4;202.1;238.2;500.2;625.1;692.0;742.8;804.6;887.2;1018.2;1368.4;2452.2;10143.6;60031.6;60000
read;1031.7;520.3;118.1;718.6;769.5;921.8;983.7;1017.5;1073.9;1296.7;1641.1;1797.4;2008.3;5511.2;21037.8;63404.8;65000
read;1043.9;476.2;93.8;747.1;791.9;932.8;992.4;1028.0;1077.8;1277.1;1677.4;1827.0;2019.5;4705.8;17498.9;63120.4;70000
read;1038.4;512.9;127.6;710.9;764.3;924.3;994.0;1046.9;1100.2;1371.7;1648.0;1804.2;2034.1;5636.6;18874.7;63609.8;75000
read;1038.5;507.5;118.1;728.6;777.1;923.6;985.7;1021.4;1081.7;1372.6;1661.3;1809.1;2014.5;5307.0;21253.2;63684.8;80000
