#type;avg;std;min;p5;p10;p50;p67;p75;p80;p85;p90;p95;p99;p999;p9999;QPS;target
read;317.4;449.1;118.1;181.2;201.8;279.7;311.5;330.0;344.0;363.1;389.7;441.6;818.4;6702.1;14789.7;4960.8;5000
read;405.9;606.3;118.1;189.1;215.2;353.3;419.5;464.8;499.7;539.6;586.4;651.1;907.1;6757.0;31190.0;9968.2;10000
read;456.1;312.3;109.4;195.8;229.1;403.3;504.4;563.9;602.1;641.5;696.3;793.7;1150.1;3747.5;10378.4;15082.8;15000
read;488.0;348.1;109.4;193.0;229.0;431.7;551.1;614.6;657.3;709.3;781.1;888.3;1147.0;4029.6;11657.8;20041.0;20000
read;530.6;373.3;109.4;195.2;237.8;501.7;608.6;661.2;699.0;748.5;808.4;904.4;1179.7;3793.6;15833.0;24902.2;25000
read;528.7;354.0;109.4;187.2;225.1;497.6;613.4;668.1;708.7;759.5;827.5;928.0;1232.9;4112.2;12322.3;29926.0;30000
read;520.7;341.0;109.4;182.1;215.8;486.5;603.0;662.1;705.6;757.5;827.0;928.9;1237.1;3228.5;12607.6;34888.2;35000
read;521.0;342.6;109.4;181.0;213.2;484.2;605.2;663.9;707.7;759.8;832.6;938.8;1273.4;3253.5;12396.9;40036.4;40000
read;516.3;323.3;101.3;181.6;214.6;478.9;601.3;661.9;704.5;754.5;824.1;933.8;1241.3;3008.1;11784.3;45184.2;45000
read;537.2;351.1;101.3;188.7;224.5;497.8;617.5;684.6;730.2;783.3;855.7;979.4;1319.3;2759.2;12815.4;49990.4;50000
read;531.5;430.4;93.8;191.2;222.7;476.7;597.3;666.9;717.8;779.1;864.6;1010.4;1372.3;3974.7;19333.2;55063.0;55000
read;546.8;383.5;101.3;200.3;236.0;500.5;619.6;686.1;737.3;798.2;877.8;1007.8;1359.1;3390.6;14703.7;59942.3;60000
read;981.0;502.3;127.6;651.6;708.6;875.9;942.3;1000.4;1062.9;1288.7;1546.4;1713.7;1967.6;5318.3;20604.6;64527.2;65000
read;1049.6;546.1;101.3;727.1;784.7;938.4;1004.1;1053.0;1093.2;1287.6;1665.8;1829.1;2033.3;5227.6;23354.7;62983.3;70000
read;1058.3;521.6;109.4;750.0;795.9;943.7;1008.0;1057.9;1096.1;1318.4;1674.7;1831.5;2036.5;5659.9;20134.5;62566.7;75000
read;1024.3;504.2;109.4;710.6;763.4;912.8;977.3;1017.3;1077.7;1306.0;1639.8;1784.4;2012.6;5464.4;19208.4;64479.4;80000
