#type;avg;std;min;p5;p10;p50;p67;p75;p80;p85;p90;p95;p99;p999;p9999;QPS
read;316.7;185.6;118.1;187.9;212.8;301.1;331.7;348.6;363.5;380.5;403.8;449.1;592.9;2166.3;5376.5;3969.8
read;396.7;216.0;118.1;194.9;228.4;368.2;424.8;462.3;493.5;531.5;578.2;641.9;914.3;3315.6;5396.4;8967.8
read;461.7;229.6;101.3;200.3;240.5;418.9;519.1;576.5;612.6;651.1;700.0;786.7;1016.8;2363.1;5403.0;13958.7
read;499.0;246.4;109.4;198.5;242.4;457.5;571.9;627.4;665.3;708.4;769.4;915.7;1098.8;2739.6;5044.7;19106.7
read;525.3;247.9;109.4;197.0;239.0;494.9;612.9;665.4;703.1;750.3;854.3;953.8;1168.9;2140.2;3773.3;23934.4
read;530.8;301.9;109.4;187.8;224.6;506.1;620.0;672.3;710.8;764.1;860.2;947.8;1181.5;2362.8;9372.3;28961.6
read;528.7;295.9;109.4;185.5;219.3;493.9;614.6;673.7;717.6;780.2;866.4;956.7;1267.0;3240.1;6735.9;34178.6
read;513.9;273.3;109.4;183.0;211.7;473.5;603.1;663.1;706.2;768.6;854.1;949.1;1259.1;2317.6;5736.1;38898.0
read;517.3;328.0;101.3;182.9;212.2;472.1;601.7;664.6;712.2;779.0;858.1;961.4;1272.7;3276.7;5893.4;44021.2
read;526.4;298.2;101.3;187.6;219.0;484.3;612.1;677.5;729.3;791.8;863.6;967.7;1316.6;2326.8;9309.5;48845.0
read;521.6;292.6;101.3;190.9;222.0;479.5;606.2;671.4;722.0;782.3;852.4;951.9;1272.7;2666.2;5540.8;53936.6
read;543.1;290.6;109.4;201.6;235.3;494.6;623.2;697.1;753.9;816.5;891.9;1022.0;1376.7;2007.6;5383.3;58845.1
read;532.6;295.5;109.4;202.6;235.3;473.2;597.8;679.5;743.7;817.1;902.8;1039.2;1348.9;1840.1;8815.4;63858.4
read;1007.0;342.3;127.6;706.2;756.5;909.8;972.6;1011.2;1065.1;1287.7;1624.1;1765.8;1978.9;2387.3;5801.8;63340.0
read;999.5;327.6;137.8;705.5;754.2;900.3;958.2;1000.7;1047.5;1341.8;1622.8;1743.3;1946.1;2366.2;5302.4;63948.3
read;999.1;355.3;109.4;691.5;740.9;897.1;962.9;1012.2;1079.8;1351.9;1604.5;1739.4;1991.9;2947.4;8072.7;63984.8
