#type;avg;std;min;p5;p10;p50;p67;p75;p80;p85;p90;p95;p99;p999;p9999;QPS;target
read;317.5;506.1;118.1;183.1;199.8;284.9;317.9;336.8;350.3;368.2;393.1;436.1;739.4;5027.5;29563.9;4988.2;5000
read;407.2;556.6;109.4;187.3;211.1;350.2;421.2;465.5;499.0;537.6;620.0;698.6;921.6;7467.8;18517.5;9963.8;10000
read;463.1;378.0;118.1;192.7;226.4;402.1;495.5;574.2;636.2;683.3;731.3;802.0;1087.2;4389.5;15169.2;15135.1;15000
read;486.7;423.7;109.4;190.4;225.0;414.8;536.9;635.7;682.9;729.7;785.3;876.3;1162.7;4624.0;18532.9;19898.0;20000
read;527.5;363.8;109.4;191.1;228.9;473.8;623.6;685.4;724.1;769.0;832.3;943.1;1182.0;4021.2;12524.3;25003.6;25000
read;503.9;430.8;109.4;179.9;207.6;430.0;577.1;660.9;709.4;764.4;836.5;947.8;1198.8;4550.0;18245.7;30082.4;30000
read;514.7;368.9;109.4;182.3;210.7;442.3;599.1;680.1;734.1;798.2;879.5;1008.5;1238.5;3041.7;12786.4;34868.3;35000
read;512.8;423.1;101.3;176.8;203.8;448.6;598.0;667.2;713.4;770.9;855.3;993.5;1240.8;4512.1;12788.5;39855.8;40000
read;493.8;334.0;109.4;175.0;199.5;431.8;569.9;648.8;700.9;764.2;849.6;979.2;1206.8;3007.3;11166.2;44951.0;45000
read;505.6;424.6;101.3;176.4;200.6;436.0;573.4;646.9;701.0;772.3;872.5;1018.4;1295.6;3960.8;12792.4;49871.2;50000
read;492.5;343.1;101.3;177.5;202.5;426.8;555.2;631.4;689.7;764.4;862.0;1003.1;1243.6;2997.2;10220.0;54869.2;55000
read;531.1;391.3;109.4;186.3;217.1;469.3;601.3;672.4;726.8;796.1;896.5;1056.9;1458.9;3197.1;12839.4;59834.5;60000
read;513.2;354.9;101.3;186.2;217.6;452.3;575.9;651.5;714.4;788.5;878.0;1012.7;1301.8;3048.7;12739.4;64950.6;65000
read;574.7;408.7;101.3;195.7;234.3;506.6;657.8;739.2;792.1;853.2;939.7;1131.2;1628.9;3748.7;13222.7;69624.0;70000
read;579.7;385.6;109.4;219.5;261.9;530.2;638.8;708.2;767.6;849.4;957.6;1118.5;1379.1;3989.3;13448.1;74909.4;75000
read;968.9;480.5;127.6;674.2;713.8;847.2;907.6;947.9;1025.9;1425.9;1564.2;1679.1;1858.2;5001.6;18127.3;68145.8;80000
