#type;avg;std;min;p5;p10;p50;p67;p75;p80;p85;p90;p95;p99;p999;p9999;QPS
read;346.1;141.7;118.1;197.8;229.9;329.7;368.8;392.5;410.1;433.4;465.1;520.5;690.4;1769.6;6461.3;3998.6
read;443.3;229.4;118.1;208.0;248.9;408.1;480.5;528.1;563.5;604.2;664.8;771.5;942.4;2469.5;7716.0;9018.8
read;492.7;252.2;109.4;199.9;245.2;441.0;549.4;616.5;674.5;730.7;785.7;870.0;1097.1;3575.2;5066.0;13953.4
read;524.0;290.1;109.4;187.2;226.8;462.4;600.0;691.6;739.9;791.9;868.3;990.3;1231.9;2934.0;6182.3;18991.0
read;547.0;271.1;101.3;190.2;231.4;507.2;645.3;708.8;747.5;797.2;879.0;1007.3;1247.3;2210.7;5005.2;23776.0
read;548.1;287.1;109.4;191.2;227.7;496.8;650.8;715.0;756.9;814.5;916.1;1036.5;1304.0;2168.0;4969.2;29038.4
read;541.2;280.5;109.4;187.5;220.4;495.9;641.2;702.6;746.1;810.8;909.3;1016.9;1295.4;1967.1;4606.5;34053.2
read;524.7;271.6;101.3;180.4;209.9;481.3;618.8;680.2;724.5;784.6;879.0;1000.1;1282.9;2130.1;3889.8;38851.0
read;508.3;283.7;101.3;178.4;204.1;445.3;582.6;658.5;716.0;798.7;906.7;1035.3;1294.0;2148.7;3624.4;44085.4
read;511.6;291.6;101.3;180.3;207.8;455.6;586.2;656.0;712.0;791.6;898.6;1032.5;1329.3;1901.9;3538.5;48973.6
read;532.1;270.6;101.3;188.1;221.7;501.2;617.0;678.5;726.8;789.8;871.0;993.0;1281.4;1956.8;4278.4;53687.8
read;524.5;275.5;101.3;190.1;223.4;488.4;603.8;666.6;716.5;784.5;867.3;990.5;1294.6;1885.1;4240.6;58812.4
read;549.6;285.0;101.3;198.5;236.6;508.2;625.5;695.8;752.9;822.2;906.1;1050.0;1421.9;1865.2;4844.6;63989.2
read;980.1;322.3;118.1;690.4;741.5;886.6;939.9;987.6;1021.7;1225.0;1580.6;1721.2;1896.4;2331.5;5743.1;64969.1
read;963.6;323.4;118.1;686.0;726.4;863.5;921.3;960.4;1006.0;1324.8;1562.6;1694.7;1869.5;2214.5;5843.3;66285.2
read;1007.0;356.8;137.8;708.1;760.2;905.2;964.2;1004.7;1054.0;1317.6;1642.5;1772.3;1978.8;2363.1;9973.8;63470.6
