#type;avg;std;min;p5;p10;p50;p67;p75;p80;p85;p90;p95;p99;p999;p9999;QPS
read;425.9;484.2;118.1;193.0;233.7;362.1;412.9;445.1;468.6;497.9;537.0;606.9;2345.9;6308.3;8698.2;3979.2
read;505.1;425.5;118.1;194.4;241.9;453.2;539.1;589.6;625.1;666.8;722.1;808.7;1477.9;6811.4;8197.2;9108.0
read;572.9;556.7;118.1;188.3;228.4;506.4;615.0;673.3;716.2;769.2;840.3;980.0;1890.5;7945.4;10137.1;14105.5
read;601.5;624.6;118.1;187.3;225.4;523.3;645.3;712.2;758.9;818.5;897.3;1064.3;2190.4;8892.5;10125.0;19075.4
read;641.3;598.9;109.4;190.2;235.2;577.1;701.7;765.0;810.3;871.2;951.8;1126.2;2475.5;8414.5;9249.2;23984.2
read;635.5;660.1;109.4;185.0;221.5;544.7;690.2;767.8;823.2;893.4;990.3;1180.2;2201.8;9281.8;12650.3;28880.1
read;733.3;691.3;109.4;201.0;253.9;637.4;804.2;887.0;949.7;1029.4;1148.9;1299.3;3417.3;9219.8;10218.0;34130.2
read;633.5;599.9;109.4;188.6;221.3;538.3;690.4;782.2;850.3;930.2;1032.8;1237.0;2180.3;8387.4;11702.5;38914.8
read;616.6;471.8;109.4;189.8;225.9;546.8;695.1;782.1;843.5;916.9;1017.3;1217.1;1709.7;7524.3;10037.1;43938.6
read;654.1;598.9;109.4;193.0;232.9;563.1;722.5;810.5;871.5;942.7;1049.3;1276.8;2117.9;8541.6;12035.5;48964.8
read;1001.9;496.1;109.4;404.2;559.6;954.7;1029.7;1075.4;1109.8;1185.5;1531.4;1881.6;2249.4;7304.2;9427.4;54103.4
read;1241.0;538.5;148.8;944.1;977.4;1116.4;1168.9;1202.9;1246.0;1305.6;1901.2;2167.9;2535.9;8860.2;10474.1;51443.2
read;1223.6;584.0;127.6;916.9;960.7;1091.0;1148.5;1177.3;1212.6;1275.5;1891.6;2140.5;2536.1;8905.9;10859.3;52172.3
read;1212.8;515.8;137.8;901.3;949.1;1084.2;1145.8;1178.7;1222.4;1299.1;1904.0;2128.0;2486.1;8447.8;11360.0;52705.0
read;1240.9;523.8;118.1;945.0;979.5;1115.9;1167.9;1199.9;1245.0;1309.3;1936.5;2178.5;2558.6;8750.3;11312.8;51510.0
read;1249.3;493.2;118.1;944.1;978.1;1122.2;1175.4;1219.1;1259.1;1351.4;1962.8;2196.6;2563.1;7546.8;9304.8;51174.5
