#type;avg;std;min;p5;p10;p50;p67;p75;p80;p85;p90;p95;p99;p999;p9999;QPS
read;388.4;485.6;127.6;186.7;219.8;323.7;363.9;387.8;404.5;430.1;465.4;536.1;2755.6;7078.5;7490.5;3935.6
read;459.2;625.6;118.1;177.5;203.3;378.4;469.0;520.7;555.2;592.2;640.4;724.9;2008.8;8743.9;16120.4;8970.6
read;515.9;511.0;109.4;172.7;201.2;442.8;546.1;610.1;652.3;698.4;759.3;855.5;2291.4;7133.1;7836.3;14067.2
read;567.1;644.6;109.4;173.4;201.6;487.5;599.6;663.8;712.5;769.4;842.3;951.3;2339.5;9073.4;11711.5;19008.6
read;543.9;534.1;109.4;173.4;199.1;456.8;595.7;677.1;734.6;802.1;885.8;1013.1;1636.0;7573.4;9822.2;23822.9
read;611.0;659.8;109.4;174.5;206.3;522.7;652.9;722.0;776.0;846.3;933.8;1092.6;2970.4;9048.2;9977.8;29017.4
read;628.9;568.1;109.4;181.3;219.9;564.6;703.9;772.7;823.0;883.8;968.2;1112.5;2239.5;7532.3;10114.7;34005.6
read;636.8;569.2;109.4;186.3;224.1;564.8;714.9;791.2;843.6;905.1;989.5;1144.8;2091.8;8036.8;9802.1;38932.2
read;629.8;604.7;109.4;185.5;221.5;538.3;691.3;777.6;837.4;904.6;995.7;1176.4;2078.3;8118.0;9730.0;44068.8
read;665.7;562.3;101.3;200.1;248.4;594.1;742.3;820.5;873.8;935.1;1013.7;1186.2;2151.4;8104.7;9547.7;48715.2
read;652.1;498.5;109.4;205.7;255.9;592.4;737.1;811.0;863.3;923.0;1009.0;1217.6;1811.1;8232.4;9411.0;54046.7
read;1002.5;495.3;109.4;478.2;642.3;931.2;995.3;1033.7;1074.1;1158.6;1598.2;1841.3;2139.7;7444.7;9879.6;58386.0
read;1152.7;561.3;118.1;838.5;885.8;1021.0;1074.3;1099.5;1150.2;1247.7;1804.0;2002.1;2472.1;8466.7;11023.7;55379.6
read;1135.2;515.0;127.6;839.3;885.1;1013.9;1066.9;1092.4;1130.3;1197.7;1780.2;1988.6;2333.2;8589.0;10616.2;56314.3
read;1140.5;501.3;118.1;841.7;885.3;1013.8;1068.9;1095.5;1141.3;1237.0;1817.7;1990.3;2315.0;7624.1;10452.4;56055.2
read;1105.2;527.8;127.6;813.3;845.1;971.0;1014.8;1059.6;1091.4;1252.1;1776.6;1925.2;2461.4;8764.6;9932.8;57839.2
