#type;avg;std;min;p5;p10;p50;p67;p75;p80;p85;p90;p95;p99;p999;p9999;QPS;target
read;2740.4;3915.3;127.6;255.5;1618.2;1743.4;1867.8;3787.5;3853.0;3918.4;3983.9;4049.4;29031.6;36926.3;43726.4;4956.4;5000
read;1815.7;2670.1;109.4;212.6;249.3;1701.7;1800.4;1862.0;1929.8;2106.8;3720.4;3933.3;7057.8;35629.4;40512.3;9931.4;10000
read;1350.0;1429.6;101.3;218.7;263.0;1645.9;1746.4;1828.1;1879.2;1961.3;2115.2;3429.2;3962.1;20515.5;36711.1;14976.0;15000
read;1224.5;1285.9;109.4;216.4;267.2;663.2;1721.2;1817.3;1892.9;1967.5;2068.6;3121.2;3710.9;16695.4;33822.6;20012.0;20000
read;1122.7;1102.3;101.3;212.6;259.1;608.1;1687.4;1792.8;1893.5;1970.0;2077.7;2853.0;3509.1;10181.8;30878.1;25131.2;25000
read;1084.6;1467.9;109.4;216.1;261.4;624.6;1595.8;1730.8;1849.0;1951.2;2053.1;2531.8;4047.3;30459.0;37169.3;29830.4;30000
read;2039.2;3644.7;118.1;394.8;534.7;907.4;1074.4;1632.6;1940.5;4571.9;4976.3;5895.4;22633.3;36746.0;51254.0;34433.8;35000
read;2321.3;4057.6;127.6;697.9;747.1;917.8;1069.4;1652.0;4445.4;4869.4;5115.0;8539.8;30139.6;37568.3;47316.5;34269.4;40000
read;2421.8;4096.0;148.8;738.8;786.6;975.3;1115.0;1745.8;4577.6;4926.7;5205.9;8889.8;29471.8;37295.3;55642.0;32766.0;45000
read;2413.2;4167.8;160.7;726.2;771.6;958.3;1103.5;1674.0;4434.2;4905.6;5353.2;8976.2;30258.0;36886.5;51465.1;33074.6;50000
read;2340.7;3982.3;148.8;702.2;750.8;929.5;1087.3;1675.7;4504.0;4904.7;5127.8;8776.7;29036.8;36906.0;46160.6;33798.4;55000
read;2355.8;4092.3;160.7;697.9;745.2;928.1;1086.8;1641.6;3340.2;4899.6;5276.4;8945.8;30118.9;37347.6;52195.8;33737.2;60000
read;2241.9;3940.3;118.1;668.0;712.6;883.5;1046.8;1579.9;2065.0;4788.6;5105.0;8440.8;29345.7;36862.3;50621.9;35250.6;65000
read;2346.3;4223.6;127.6;700.9;749.7;923.7;1057.0;1573.9;1896.4;4839.4;5250.4;8937.8;30208.3;38432.7;60035.5;34295.2;70000
read;2296.6;4021.5;137.8;682.0;729.6;910.3;1071.4;1596.6;2233.1;4847.9;5165.9;8727.2;30135.9;36923.0;44137.5;34543.6;75000
read;2232.3;3882.3;148.8;666.2;711.1;881.8;1048.6;1568.5;2078.9;4787.7;5112.3;8505.9;28264.6;36966.7;48780.4;35181.4;80000
