#type;avg;std;min;p5;p10;p50;p67;p75;p80;p85;p90;p95;p99;p999;p9999;QPS
read;1953.2;925.6;127.6;262.8;1622.8;1723.6;1795.0;1843.8;1874.3;2322.9;3852.1;3965.2;4055.6;5131.6;9500.5;3981.6
read;1591.9;1027.6;109.4;209.5;247.4;1705.7;1794.3;1850.0;1884.7;1986.6;3497.1;3835.6;4029.1;4346.7;6386.0;8941.8
read;1336.2;978.6;101.3;215.3;259.1;1659.5;1758.7;1835.2;1882.9;1962.2;2083.2;3396.9;3854.4;4199.6;10582.3;13985.6
read;1207.6;918.8;109.4;213.8;263.0;761.8;1729.2;1827.6;1899.6;1970.7;2067.4;3107.2;3531.0;4119.0;6710.9;19033.4
read;1108.0;875.1;101.3;210.7;255.5;597.5;1696.5;1804.7;1899.4;1972.9;2078.2;2839.4;3394.6;4200.4;6948.3;24114.8
read;1035.0;869.4;109.4;214.4;258.5;614.0;1621.2;1736.5;1854.9;1952.5;2048.6;2491.4;3649.6;5904.0;10901.4;28837.8
read;1716.8;1968.4;118.1;390.2;529.5;901.0;1040.0;1572.1;1857.7;4476.3;4913.4;5600.5;9352.3;10142.6;10625.3;33460.8
read;1916.9;2139.8;127.6;696.5;744.2;911.6;1019.2;1582.6;1984.1;4816.3;5055.2;5892.0;9481.3;10210.3;12735.5;33276.2
read;2011.0;2216.8;148.8;736.0;784.0;967.8;1083.8;1659.8;2404.8;4879.1;5083.7;8275.1;9513.4;10191.4;11349.5;31761.6
read;1993.1;2252.7;160.7;724.1;769.6;949.5;1076.4;1586.8;2000.7;4845.9;5101.0;8531.4;9599.0;10197.3;10580.0;32068.8
read;1948.1;2172.2;148.8;700.7;749.3;923.2;1051.5;1596.1;2086.4;4856.4;5073.5;5956.0;9480.9;10197.0;14840.8;32803.8
read;1952.5;2239.5;160.7;696.5;742.5;921.7;1051.8;1563.5;1910.3;4843.1;5093.8;8443.5;9594.9;10207.0;10985.8;32739.8
read;1864.3;2127.8;118.1;666.3;710.9;875.7;1004.3;1529.2;1812.4;4715.1;5033.2;5879.5;9387.9;10152.8;10644.5;34272.6
read;1921.3;2258.2;127.6;699.4;747.5;917.4;1022.0;1489.9;1772.4;4768.5;5075.2;8532.3;9583.5;10202.8;17365.0;33271.2
read;1905.3;2185.6;137.8;679.3;727.3;903.5;1028.2;1524.1;1848.4;4787.9;5072.0;8147.3;9473.4;10190.1;13643.2;33552.8
read;1868.1;2145.9;148.8;664.3;709.5;873.7;1007.1;1514.6;1791.4;4710.3;5038.2;5939.6;9407.0;10166.6;11709.0;34210.8
