#type;avg;std;min;p5;p10;p50;p67;p75;p80;p85;p90;p95;p99;p999;p9999;QPS;target
read;2311.4;2224.2;118.1;240.8;642.8;2363.9;2459.0;2501.8;2528.5;2555.2;3725.1;3948.2;8561.1;31898.0;34988.1;4955.2;5000
read;1950.6;1761.8;109.4;217.6;259.0;2369.5;2471.5;2517.8;2546.7;2629.0;3406.9;3702.7;4117.3;26939.0;32374.4;10105.2;10000
read;1685.6;1573.0;109.4;207.0;257.0;2246.5;2459.3;2526.7;2573.3;2678.8;2981.2;3459.4;3916.3;22168.3;33461.1;14959.2;15000
read;1456.3;1394.2;109.4;204.8;243.6;639.8;2408.8;2504.4;2564.0;2656.4;2749.8;3166.2;3686.4;15192.4;32518.3;20019.6;20000
read;1371.5;2172.9;109.4;215.7;260.5;612.3;2227.7;2421.5;2517.5;2617.7;2722.1;2953.1;5328.2;31876.2;39091.3;24955.4;25000
read;1289.0;2535.7;109.4;233.7;283.8;628.4;819.6;1885.1;2392.4;2552.1;2690.9;2919.2;5463.1;32347.1;40306.4;29942.1;30000
read;2424.9;4077.7;137.8;718.1;773.4;969.8;1121.2;1720.0;4489.6;4935.1;5474.6;8984.9;29501.2;36930.5;48509.0;32609.0;35000
read;2403.1;4066.6;202.4;717.3;771.3;955.8;1134.9;1765.9;4611.0;4918.3;5120.0;8727.1;30366.1;36669.4;42556.7;33227.6;40000
read;2427.2;4067.2;137.8;723.9;778.3;970.0;1157.0;1780.4;4604.2;4932.7;5282.2;8844.0;30197.9;36792.0;42823.7;32783.0;45000
read;2394.7;4042.7;127.6;723.3;772.3;947.0;1128.6;1745.8;4599.7;4917.2;5120.1;8664.3;30148.3;36307.1;43357.1;33250.6;50000
read;2416.7;4112.5;187.4;734.0;783.1;960.7;1099.6;1697.8;3162.3;4915.4;5459.8;9046.8;30306.5;36657.0;47561.0;32900.8;55000
read;2499.4;4126.8;148.8;757.1;812.9;1000.1;1180.6;1917.2;4791.4;4970.7;5298.9;8850.0;30177.9;37222.5;50341.7;31980.0;60000
read;2399.3;4074.3;137.8;725.1;777.3;958.3;1120.4;1722.3;4445.1;4904.3;5226.9;8932.1;29833.2;37089.0;49437.0;33066.2;65000
read;2440.8;4138.5;202.4;730.7;789.3;980.0;1132.9;1764.3;4582.8;4935.7;5364.9;8915.4;30183.8;37333.3;54137.2;32641.7;70000
read;2413.1;4119.4;160.7;734.6;781.8;951.7;1089.8;1708.3;4408.3;4921.4;5420.7;9027.7;30034.1;37137.7;43998.0;33061.2;75000
read;2309.8;4084.0;118.1;684.0;722.5;899.9;1068.4;1589.7;2085.4;4842.9;5222.8;8841.0;30257.7;36591.5;50828.2;34559.6;80000
