#type;avg;std;min;p5;p10;p50;p67;p75;p80;p85;p90;p95;p99;p999;p9999;QPS;target
read;447.5;1422.7;118.1;191.9;218.5;312.0;352.8;379.7;401.6;432.2;471.8;544.7;4151.6;28885.4;51036.9;4902.4;5000
read;510.2;1046.4;118.1;187.2;219.6;394.4;487.0;541.2;578.1;619.8;674.0;770.9;3551.3;11924.0;32402.3;10023.8;10000
read;532.6;1036.8;118.1;179.4;206.8;418.8;521.5;583.8;627.2;676.1;738.7;847.6;3199.4;12544.2;32328.8;14920.8;15000
read;622.4;1065.6;118.1;185.6;219.7;514.2;628.7;693.9;742.0;806.1;894.9;1025.4;3664.9;9483.3;32423.0;19950.6;20000
read;582.3;901.2;109.4;181.3;210.1;463.8;604.7;683.1;745.4;820.7;913.7;1068.2;2528.7;9334.5;32245.7;24936.4;25000
read;654.6;1066.1;109.4;189.6;223.7;547.5;676.0;742.6;796.6;862.1;953.1;1107.7;3756.3;10122.6;32274.1;29991.5;30000
read;648.3;949.7;109.4;184.4;219.0;545.1;693.7;768.2;822.4;888.8;982.7;1157.6;3077.3;10297.7;32285.3;34909.1;35000
read;656.8;938.0;109.4;186.8;221.1;550.2;705.8;788.6;847.7;917.6;1012.6;1191.7;2726.2;9397.0;32314.7;40176.8;40000
read;649.2;766.1;109.4;189.7;228.6;563.7;715.6;800.4;860.4;930.8;1018.8;1196.8;2026.6;8366.5;32113.4;44912.6;45000
read;870.7;994.9;109.4;232.4;314.7;797.0;967.9;1034.7;1077.0;1133.0;1238.9;1721.4;2779.4;12121.3;32288.4;50094.8;50000
read;1324.5;1016.9;109.4;972.1;1029.0;1165.1;1222.5;1257.2;1278.9;1364.1;2016.7;2285.5;2750.4;14915.1;33867.1;50710.4;55000
read;1354.4;1082.3;137.8;984.1;1033.7;1190.0;1255.5;1290.7;1339.9;1398.5;1938.2;2303.3;2862.2;17566.4;33080.2;50017.4;60000
read;1369.8;1068.8;118.1;1016.4;1053.3;1202.2;1259.3;1291.2;1340.2;1400.6;2040.1;2333.0;3005.8;17030.0;32499.3;49364.6;65000
read;1236.8;880.9;160.7;899.0;949.0;1081.4;1142.2;1176.5;1223.4;1352.3;1918.4;2125.2;2598.7;11932.9;32112.3;54259.2;70000
read;1290.8;972.4;127.6;952.7;997.2;1133.0;1181.3;1227.8;1263.6;1348.7;1979.0;2211.6;2727.2;14688.7;32182.8;52139.6;75000
read;1375.1;1141.0;127.6;991.9;1040.1;1191.5;1255.4;1289.0;1343.2;1434.1;2065.8;2328.8;3556.2;19641.4;34934.5;49326.2;80000
