#type;avg;std;min;p5;p10;p50;p67;p75;p80;p85;p90;p95;p99;p999;p9999;QPS;target
read;386.0;492.6;109.4;200.6;239.7;353.6;394.0;420.3;440.5;468.0;505.0;568.9;761.8;5424.1;21943.4;4937.0;5000
read;475.6;396.6;101.3;197.2;249.1;428.7;518.1;568.6;601.6;639.6;688.0;769.8;1085.0;4401.9;18979.2;9989.6;10000
read;525.7;518.2;109.4;192.3;231.2;460.8;586.7;647.7;690.5;740.7;810.9;921.4;1218.9;7853.1;16201.0;14918.4;15000
read;553.5;422.0;109.4;191.8;235.3;512.0;634.5;697.2;741.0;799.9;881.9;984.8;1212.7;4836.5;18284.7;19971.6;20000
read;568.4;386.0;101.3;192.1;233.0;530.7;659.2;724.7;774.5;839.1;918.5;1025.6;1316.4;3933.8;13796.8;24884.2;25000
read;566.8;351.2;101.3;189.4;228.8;530.6;665.0;730.4;781.6;844.9;923.2;1041.4;1311.5;3547.2;10713.2;30144.6;30000
read;547.0;366.2;101.3;180.8;214.4;504.5;636.9;704.2;753.0;818.2;901.8;1017.9;1307.6;3447.9;11344.8;35095.0;35000
read;533.9;391.0;101.3;178.0;209.9;493.3;624.7;689.2;735.1;793.6;871.1;989.8;1256.0;3271.4;12686.8;39914.6;40000
read;533.9;368.5;101.3;180.2;213.1;491.7;621.2;687.4;735.4;793.2;868.5;987.7;1263.7;3611.0;13619.1;45194.0;45000
read;524.3;323.9;101.3;184.4;216.3;484.3;609.2;674.4;721.4;778.7;852.8;967.7;1222.2;3392.5;11923.9;50238.6;50000
read;537.0;398.1;101.3;188.5;224.1;496.2;620.1;685.9;732.5;789.4;863.9;982.6;1270.6;3172.0;13773.9;55017.4;55000
read;554.5;370.7;101.3;197.6;236.0;512.3;634.2;699.4;748.4;808.7;887.3;1010.8;1410.0;2533.0;14256.1;59947.2;60000
read;1022.9;495.3;127.6;706.4;760.9;916.4;980.3;1016.5;1073.4;1288.4;1623.2;1781.9;2005.5;4997.9;20639.2;63725.8;65000
read;1018.5;498.5;109.4;726.0;771.8;909.7;967.8;1006.8;1057.5;1239.8;1632.0;1776.0;1987.9;4380.2;20463.3;64684.2;70000
read;1015.8;526.7;109.4;711.1;761.4;905.2;963.9;1006.5;1062.8;1276.3;1621.7;1759.9;1985.6;5642.0;22773.4;65117.8;75000
read;1037.5;517.5;93.8;728.3;781.1;929.3;989.6;1022.8;1075.9;1263.8;1648.4;1806.9;2011.0;5269.6;20266.5;63738.8;80000
