#type;avg;std;min;p5;p10;p50;p67;p75;p80;p85;p90;p95;p99;p999;p9999;QPS;target
read;353.8;323.9;118.1;198.9;224.9;318.7;357.9;381.4;399.9;426.3;471.1;561.3;863.2;4581.2;12454.8;4963.8;5000
read;466.0;443.8;109.4;200.7;247.7;406.5;513.4;570.4;606.7;641.5;689.9;778.8;1014.6;4686.4;22156.9;9975.8;10000
read;522.3;376.4;109.4;198.3;252.1;482.1;598.5;651.4;688.0;737.2;803.7;902.0;1146.1;3894.1;18281.6;14990.2;15000
read;557.8;445.3;109.4;193.9;240.3;518.6;633.9;696.1;746.0;808.1;888.5;1004.8;1279.4;4180.4;12916.4;19998.8;20000
read;586.8;417.5;101.3;191.3;238.6;554.3;669.3;735.0;787.3;853.9;937.3;1065.0;1379.6;3940.9;15840.4;24993.2;25000
read;573.5;397.1;101.3;186.8;224.6;530.9;660.6;728.5;782.0;850.5;938.8;1081.2;1400.4;3917.3;12784.7;30032.4;30000
read;539.5;461.1;101.3;178.5;206.7;484.5;619.0;692.5;744.6;810.2;899.9;1027.3;1333.7;3822.5;19237.4;34973.2;35000
read;540.4;390.3;101.3;179.0;209.0;493.9;629.6;697.1;744.2;803.9;886.9;1017.0;1337.1;3754.0;15238.6;39983.8;40000
read;545.4;423.0;101.3;181.5;213.0;500.5;634.2;703.4;750.0;805.4;882.2;1009.4;1353.7;3825.3;12757.8;44972.4;45000
read;527.1;327.4;101.3;182.9;213.5;482.5;613.5;682.9;732.0;789.2;866.1;994.7;1306.1;2305.4;10839.1;49997.0;50000
read;537.3;346.1;101.3;186.7;222.4;500.4;625.4;691.9;738.0;792.1;864.6;983.6;1266.3;2237.4;13521.9;54960.8;55000
read;558.6;341.6;101.3;197.4;237.6;522.9;646.0;709.0;753.4;809.5;886.5;1009.6;1386.4;2390.9;12399.9;59884.4;60000
read;919.5;517.5;101.3;417.9;575.8;853.4;923.9;973.6;1016.3;1166.3;1475.4;1675.8;1931.3;4842.3;19590.1;64667.6;65000
read;1035.5;494.6;93.8;718.8;776.0;928.1;992.4;1035.3;1084.3;1256.4;1641.9;1804.9;2023.6;5476.8;18295.7;63700.9;70000
read;1027.5;479.9;109.4;714.2;768.3;919.8;983.9;1022.3;1080.9;1279.7;1637.9;1790.1;2016.3;4841.3;19835.3;64181.2;75000
read;1024.9;521.8;101.3;711.6;763.3;911.0;973.1;1013.1;1075.7;1360.7;1647.6;1793.2;1999.5;4903.6;20087.1;64461.1;80000
