#type;avg;std;min;p5;p10;p50;p67;p75;p80;p85;p90;p95;p99;p999;p9999;QPS;target
read;304.8;298.0;118.1;179.7;196.7;274.6;305.9;323.0;337.4;359.0;411.4;468.8;646.7;4284.2;12188.2;5042.2;5000
read;433.8;433.0;118.1;194.9;223.2;394.8;491.7;533.7;562.5;595.7;639.7;715.9;1011.7;4483.9;12445.6;9966.0;10000
read;475.8;344.0;109.4;194.4;229.7;436.9;538.0;593.2;635.5;683.3;740.6;835.6;1053.0;3901.2;14561.5;14902.3;15000
read;526.1;390.2;109.4;191.8;231.6;486.8;596.1;659.8;704.0;757.1;832.2;935.7;1170.3;3633.4;16152.0;19961.3;20000
read;526.3;340.4;109.4;186.9;218.8;474.5;605.6;683.7;738.9;803.5;886.5;981.4;1174.6;3210.1;12538.6;25097.8;25000
read;529.9;423.3;109.4;182.6;213.1;471.0;608.1;687.9;745.0;814.1;900.3;998.5;1217.1;3939.7;12914.4;30037.4;30000
read;520.4;419.2;109.4;178.9;207.0;472.0;596.0;663.2;710.9;768.8;847.6;954.6;1261.1;4677.1;12708.9;34920.6;35000
read;504.2;429.2;109.4;175.4;199.6;439.8;577.2;663.1;722.3;788.9;865.6;962.7;1217.3;4458.1;15537.3;40081.4;40000
read;517.4;339.5;109.4;180.3;207.0;465.7;591.8;665.5;718.9;786.9;880.3;997.1;1277.0;3086.8;10020.3;45063.6;45000
read;514.0;358.0;101.3;178.5;204.7;462.8;585.5;655.3;709.4;780.3;877.8;1026.6;1335.1;3398.3;11448.3;50144.6;50000
read;506.1;440.4;93.8;178.8;204.3;432.9;564.0;644.6;707.9;786.3;884.1;1029.4;1274.9;4216.2;17386.8;55137.0;55000
read;523.8;373.1;101.3;184.7;214.6;459.5;589.1;672.4;729.1;797.3;891.6;1042.7;1372.1;2894.1;15168.5;59938.4;60000
read;498.4;357.6;101.3;184.1;213.6;437.9;554.7;634.2;701.3;774.9;855.7;978.4;1233.2;2480.6;12711.4;64991.0;65000
read;925.1;498.7;109.4;632.0;673.0;808.2;866.0;920.9;1005.5;1350.6;1484.3;1593.0;1762.7;5409.5;20421.6;69466.0;70000
read;937.7;481.6;101.3;646.7;691.1;821.9;876.5;930.8;1015.0;1367.0;1509.7;1620.7;1825.4;4448.6;19002.9;69899.8;75000
read;984.2;560.5;101.3;685.9;728.9;864.3;923.9;970.6;1022.0;1387.9;1578.2;1700.4;1884.8;7239.8;23156.6;67386.6;80000
