#type;avg;std;min;p5;p10;p50;p67;p75;p80;p85;p90;p95;p99;p999;p9999;QPS
read;321.0;203.8;118.1;193.1;218.9;300.4;330.8;347.6;362.4;378.8;402.5;450.3;642.1;3526.2;4020.9;4019.2
read;416.3;281.1;118.1;200.6;239.5;377.2;433.2;473.1;509.1;552.3;607.4;686.2;891.0;3819.0;7783.4;9080.0
read;464.2;235.6;118.1;195.7;238.9;420.4;511.3;575.0;617.3;664.6;719.4;793.8;1050.2;2822.2;7012.3;13877.0
read;500.0;281.4;118.1;191.0;229.0;453.3;566.4;631.9;682.5;735.9;796.3;888.0;1130.7;3350.6;5063.9;19028.2
read;499.6;291.9;109.4;184.3;214.3;452.7;566.4;633.0;684.2;742.3;808.4;910.4;1175.8;3647.2;7459.5;23975.6
read;518.0;334.0;109.4;187.1;216.6;465.4;587.8;657.9;709.0;770.4;840.3;958.2;1243.8;3718.0;7946.2;29128.4
read;513.7;266.7;101.3;182.9;214.9;483.6;595.7;654.4;694.8;750.8;821.3;921.3;1186.9;3078.9;4654.0;33897.4
read;510.4;291.5;109.4;183.1;210.9;461.0;590.1;657.6;707.3;772.9;857.2;975.9;1268.9;2286.3;7790.1;38944.1
read;501.1;281.2;101.3;182.8;208.7;445.3;569.8;642.2;695.8;768.0;868.3;997.4;1268.6;2445.2;4478.0;44164.6
read;513.5;266.8;109.4;188.6;217.6;470.4;587.7;655.8;704.2;765.0;859.4;996.0;1269.3;2294.3;3725.7;48853.8
read;515.8;275.8;109.4;192.8;223.4;474.9;591.3;656.4;703.7;763.9;855.9;989.0;1258.1;2012.0;3736.8;54040.4
read;561.9;285.7;101.3;210.6;250.2;526.8;636.4;697.8;746.3;809.8;907.1;1047.1;1418.1;2156.1;5057.1;59028.4
read;968.1;354.7;118.1;550.2;678.3;901.1;965.2;1005.5;1049.9;1157.0;1567.5;1747.2;1974.9;2361.2;7166.3;62627.0
read;968.5;332.5;127.6;682.1;722.6;863.4;924.7;971.7;1017.0;1389.5;1571.3;1700.7;1877.1;2323.1;6946.5;65461.0
read;995.1;341.4;109.4;695.9;742.7;893.0;954.1;1003.2;1064.8;1387.2;1609.2;1730.8;1951.7;2546.0;6433.7;64229.2
read;1003.8;337.6;109.4;708.9;756.6;902.0;962.0;1005.3;1059.2;1371.0;1630.2;1755.3;1964.0;2322.7;5258.4;63694.8
