#type;avg;std;min;p5;p10;p50;p67;p75;p80;p85;p90;p95;p99;p999;p9999;QPS;target
read;392.0;878.6;118.1;188.5;220.5;315.4;354.7;379.4;398.3;423.6;458.9;522.9;2158.1;7476.3;32387.6;4907.4;5000
read;511.7;958.9;118.1;183.7;225.0;410.1;496.9;547.1;584.1;626.1;679.9;782.7;3091.6;8568.0;32041.7;10014.4;10000
read;544.8;787.1;118.1;184.1;219.5;458.0;563.9;626.0;669.7;720.8;792.6;912.2;2696.8;8858.7;31738.8;14997.0;15000
read;583.3;1076.5;109.4;174.9;204.6;488.8;598.2;665.2;713.8;771.3;845.8;955.3;2504.0;11419.3;37911.4;20053.0;20000
read;641.1;1169.5;109.4;175.6;207.1;509.8;638.4;712.7;769.5;841.7;931.2;1079.9;4666.4;15080.1;36939.7;24767.4;25000
read;634.8;1038.1;109.4;178.2;209.3;522.4;657.8;729.3;784.9;857.8;946.6;1099.7;3670.8;11329.6;32384.5;30031.8;30000
read;590.7;805.6;101.3;174.9;202.5;493.7;638.1;714.3;772.9;846.3;942.2;1094.5;2026.6;8347.0;31732.6;34942.6;35000
read;629.1;1043.6;109.4;176.7;204.6;493.2;648.1;735.1;796.8;867.2;969.3;1150.0;3828.8;11419.4;35557.0;39867.1;40000
read;654.7;915.7;101.3;186.4;222.8;555.9;705.5;788.7;847.0;916.0;1011.6;1197.7;2426.3;9291.2;32186.6;44984.4;45000
read;627.0;788.5;109.4;186.3;222.1;539.5;683.8;764.7;822.6;888.5;973.9;1144.9;1956.8;8391.5;31625.4;49785.4;50000
read;832.2;835.8;109.4;244.8;333.1;779.4;910.7;968.4;1007.7;1072.2;1210.6;1633.0;2295.3;8999.5;32132.2;55017.2;55000
read;1116.7;842.2;109.4;772.9;821.6;964.7;1017.2;1069.1;1109.6;1376.4;1735.1;1904.1;2435.3;10144.9;31792.2;58736.8;60000
read;1236.3;1051.5;118.1;889.5;938.9;1066.5;1118.9;1160.4;1186.3;1298.3;1907.9;2106.8;2693.1;14842.3;35705.4;54518.8;65000
read;1192.0;1015.3;118.1;837.8;885.5;1023.5;1079.0;1115.6;1168.7;1332.6;1837.4;2016.0;2988.3;13962.1;35384.8;56318.2;70000
read;1203.4;922.0;118.1;835.4;890.4;1043.3;1093.2;1144.0;1183.4;1369.5;1886.1;2063.5;2775.9;10826.6;32135.9;55664.4;75000
read;1161.9;807.6;118.1;832.7;881.0;1010.4;1069.0;1098.3;1159.1;1340.7;1828.9;1991.6;2365.9;9569.4;31954.2;57401.0;80000
