#type;avg;std;min;p5;p10;p50;p67;p75;p80;p85;p90;p95;p99;p999;p9999;QPS
read;2172.8;926.6;137.8;238.4;671.5;2121.4;2163.1;2182.7;2194.9;2339.5;3829.8;3954.4;4054.1;5427.5;13920.9;4054.6
read;1799.1;1091.9;118.1;223.6;262.2;2105.1;2169.0;2199.1;2271.2;2345.1;3526.5;3739.0;4007.0;4120.3;8462.3;9022.2
read;1539.5;1100.3;109.4;211.2;260.6;2071.5;2172.9;2241.0;2300.0;2359.1;3029.9;3462.4;3765.4;4058.5;8665.3;13919.8
read;1354.2;1062.1;109.4;203.9;243.9;615.9;2144.3;2214.9;2280.9;2346.8;2539.1;3221.8;3605.8;4016.6;6414.5;18974.2
read;1201.0;1006.2;109.4;213.0;253.4;589.6;2080.1;2168.9;2235.6;2316.3;2435.3;2838.0;3575.3;5348.3;9258.0;24009.0
read;1090.2;997.5;109.4;218.2;258.8;584.2;895.9;2111.4;2198.2;2301.7;2428.0;2672.0;4382.2;5507.3;9460.4;28941.6
read;1016.0;994.0;109.4;236.5;287.2;621.5;791.9;996.5;2059.9;2219.4;2383.7;2654.3;4877.1;5503.9;11327.5;33982.1
read;1928.5;2307.4;160.7;683.1;729.9;910.8;1032.0;1468.7;1729.4;4770.1;5105.3;8826.2;9698.2;10207.0;11043.3;33096.2
read;1726.9;2049.6;148.8;600.2;636.5;791.4;984.4;1359.6;1541.4;4543.5;4915.0;5507.2;9117.1;9935.6;11758.0;36992.8
read;1830.2;2134.6;160.7;656.2;699.8;857.3;989.2;1464.4;1690.9;4622.8;5011.1;5920.1;9397.8;10160.4;10953.9;34909.6
read;1761.5;2165.6;137.8;622.0;660.3;811.1;934.9;1363.1;1545.2;4529.8;4989.4;8210.6;9361.5;10142.5;16220.4;36248.0
read;1815.8;2128.6;173.5;645.0;690.1;849.3;993.2;1440.9;1659.7;4613.1;5007.2;5902.6;9375.4;10160.7;12863.2;35211.0
read;1891.5;2296.4;173.5;672.7;713.2;883.1;1009.0;1455.0;1681.3;4640.9;5084.6;8653.3;9671.9;10206.3;12059.4;33790.4
read;1837.4;2182.5;148.8;652.4;696.0;855.1;995.0;1436.9;1659.9;4641.5;5034.6;8215.5;9412.7;10178.7;13661.3;34785.4
read;1947.7;2246.2;148.8;699.1;745.9;922.9;1052.3;1534.9;1857.9;4818.0;5083.0;8506.6;9661.2;10201.1;11337.4;32807.2
read;1743.6;2100.6;148.8;613.8;652.2;800.4;957.4;1375.0;1542.8;4526.4;4921.0;5797.4;9209.5;10074.8;11466.9;36667.6
