#type;avg;std;min;p5;p10;p50;p67;p75;p80;p85;p90;p95;p99;p999;p9999;QPS;target
read;421.9;1108.9;127.6;192.2;222.8;314.1;351.8;375.2;394.9;420.0;457.6;534.5;3325.7;13414.2;32455.7;4910.6;5000
read;474.9;1035.3;118.1;179.6;206.5;361.0;451.7;506.4;543.8;584.0;634.9;723.7;2508.3;15683.0;32183.0;9949.0;10000
read;526.6;908.0;109.4;174.3;203.1;427.7;532.8;598.8;643.1;691.2;754.0;855.3;3107.9;7673.8;31999.4;15069.8;15000
read;581.8;1012.2;109.4;174.5;203.1;474.9;590.5;656.0;706.3;764.8;840.4;956.4;2995.6;11504.2;34261.1;19994.8;20000
read;555.0;897.6;109.4;174.3;199.9;445.0;585.8;668.7;727.9;796.8;882.1;1013.8;1863.4;9110.5;32236.8;24829.9;25000
read;627.7;1063.2;109.4;175.3;206.3;512.2;646.6;717.2;771.6;843.3;933.1;1097.6;3678.0;9713.0;35828.1;30008.4;30000
read;639.8;856.4;109.4;181.8;217.8;555.7;699.1;769.2;820.3;882.3;969.0;1120.2;2504.5;8806.7;31749.6;35008.8;35000
read;647.9;863.7;109.4;186.5;222.1;557.5;710.2;788.2;841.4;903.9;990.1;1151.0;2373.8;9083.5;31933.6;39910.8;40000
read;643.7;912.7;109.4;185.8;220.3;533.3;688.1;775.5;836.3;904.6;997.8;1183.6;2313.1;9129.7;35696.8;45064.4;45000
read;679.0;820.8;101.3;199.9;245.0;590.8;741.2;820.5;874.6;936.8;1017.1;1205.9;2439.1;8841.3;32021.2;49693.2;50000
read;663.0;726.1;109.4;205.2;253.1;590.1;736.9;811.7;864.5;925.2;1013.2;1233.7;1848.1;8785.6;31519.5;55031.1;55000
read;1026.5;802.4;109.4;477.1;643.0;933.5;998.8;1041.9;1082.8;1202.6;1629.7;1851.2;2182.2;9328.8;31735.6;59386.6;60000
read;1192.1;1016.6;118.1;839.5;886.6;1023.8;1078.1;1111.1;1164.9;1329.3;1837.0;2015.1;2865.3;13374.5;36345.5;56379.6;65000
read;1168.7;903.5;127.6;840.5;885.9;1016.2;1070.6;1096.6;1147.0;1262.9;1814.8;2000.0;2533.5;10380.9;32498.1;57321.7;70000
read;1173.0;878.1;118.1;842.9;886.1;1016.1;1072.8;1099.9;1157.5;1327.7;1840.4;2000.5;2466.6;10144.1;32198.0;57062.6;75000
read;1135.4;884.4;127.6;813.8;846.2;973.1;1017.7;1067.7;1100.0;1388.1;1787.8;1936.6;2727.6;9605.4;31859.5;58832.0;80000
