#type;avg;std;min;p5;p10;p50;p67;p75;p80;p85;p90;p95;p99;p999;p9999;QPS;target
read;460.4;1283.4;118.1;197.2;224.8;339.8;392.9;426.9;453.1;484.4;526.6;603.3;3318.0;29771.5;37240.2;4954.0;5000
read;508.1;784.7;118.1;193.9;224.3;432.8;523.1;576.2;614.2;657.5;715.7;809.4;2108.4;8025.4;36035.5;10116.8;10000
read;579.4;927.1;118.1;188.1;219.3;489.8;602.7;663.5;707.1;761.1;835.1;979.8;2550.8;10014.9;36143.2;15104.5;15000
read;616.1;994.8;118.1;187.8;221.7;510.3;636.7;705.4;752.8;814.2;895.9;1070.3;3185.9;9764.1;36805.1;20076.0;20000
read;667.8;1060.7;109.4;191.3;235.1;570.1;697.2;761.7;808.1;870.6;954.4;1135.7;3527.3;12444.3;32392.6;24991.4;25000
read;661.6;1093.7;109.4;185.9;222.6;540.9;687.3;765.4;821.4;893.1;992.3;1188.5;2907.3;10913.3;36160.5;29901.9;30000
read;765.8;1116.7;109.4;202.1;255.2;639.3;806.6;890.5;954.7;1037.1;1160.9;1320.7;4398.2;11496.7;32716.5;35112.8;35000
read;655.4;913.4;109.4;189.2;222.5;540.0;692.5;784.7;852.8;933.1;1038.0;1247.8;2487.6;9792.0;31981.2;39892.6;40000
read;633.7;728.5;109.4;190.5;227.2;549.7;699.1;786.1;847.4;921.5;1024.4;1230.3;1775.2;8563.3;31452.2;44918.0;45000
read;673.3;861.5;109.4;193.6;234.2;566.4;726.6;815.2;876.2;948.6;1057.8;1295.1;2340.4;9250.6;32263.7;49948.4;50000
read;1034.8;854.0;109.4;406.6;563.2;957.5;1035.1;1081.5;1126.7;1232.3;1594.3;1903.7;2373.3;10388.9;31314.1;55105.2;55000
read;1283.0;984.5;148.8;944.7;978.7;1119.3;1172.9;1215.3;1259.0;1358.0;1955.4;2184.9;2797.2;13363.4;32514.4;52440.6;60000
read;1268.5;1055.1;127.6;918.5;961.6;1093.4;1152.9;1182.3;1231.0;1325.4;1931.3;2156.6;2893.3;17401.7;32251.1;53148.9;65000
read;1250.7;926.1;137.8;902.3;949.9;1086.9;1151.1;1184.5;1241.8;1372.3;1934.4;2143.2;2636.9;12873.5;31907.7;53730.6;70000
read;1287.3;1026.1;118.1;945.7;980.8;1118.8;1171.8;1212.8;1258.6;1363.3;1994.1;2194.7;2917.9;14383.6;32912.0;52509.8;75000
read;1294.9;998.9;118.1;944.7;979.4;1125.2;1179.5;1230.6;1271.2;1422.5;2012.2;2219.6;2759.2;14596.0;32341.3;52176.5;80000
