workload;start;end;duration;duration_seconds
dedup;19:37:01;19:38:10;00:01:09;69
blackscholes;19:36:57;19:40:23;00:03:26;206
ferret;19:37:04;19:41:38;00:04:34;274
freqmine;19:36:58;19:40:22;00:03:24;204
canneal;19:36:57;19:40:49;00:03:52;232
fft;19:36:57;19:39:08;00:02:11;131
