Sun May  8 19:50:52 UTC 2022
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      238.4   200.3    74.4   126.9   139.5   214.4   254.4   278.7   297.1   320.1   352.9   403.8   531.9  1763.5  8547.4  30021.4    30000
read      248.1   264.7    80.4   123.1   134.7   214.3   260.6   288.2   309.1   335.2   371.2   430.2   616.4  3150.5 10684.4  29977.8    30010
read      254.9   291.0    80.4   120.3   130.9   214.5   266.4   295.8   318.4   347.9   388.9   453.6   727.9  3975.0 11827.7  30018.9    30020
read      248.0   328.3    74.4   120.4   130.8   211.1   261.3   290.3   312.3   339.6   375.8   434.0   620.9  3522.3 15662.8  30095.3    30030
read      249.1   329.8    80.4   119.7   129.8   210.2   261.9   291.8   314.3   342.2   380.5   440.6   642.6  3546.8 15434.4  30048.3    30040
read      246.9   263.8    74.4   118.2   128.2   209.9   262.8   292.5   315.0   343.1   381.6   442.4   648.5  3131.8 11875.3  30094.6    30050
read      247.2   311.2    80.4   119.2   129.2   207.9   260.4   290.1   312.4   340.3   377.2   435.3   635.2  3777.6 14335.8  30074.2    30060
read      243.1   303.7    74.4   118.4   128.2   205.8   256.9   286.4   308.1   335.0   370.7   427.4   598.6  3662.1 13426.3  30083.8    30070
read      245.9   239.5    80.4   119.6   129.6   208.1   261.5   291.8   314.7   343.0   381.9   442.0   653.5  2997.0  8091.4  30124.0    30080
read      254.2   320.8    80.4   120.1   130.4   210.8   264.2   295.2   318.8   348.7   389.0   452.0   702.3  3834.4 13984.8  30067.6    30090
read      258.7   334.3    80.4   121.3   131.7   211.4   265.6   297.8   323.0   355.4   396.9   462.7   729.3  4310.2 14245.0  30052.5    30100
read      254.0   272.2    74.4   121.3   131.9   209.8   262.9   295.1   319.9   352.0   394.1   458.9   731.7  3643.2  8715.5  30108.1    30110
read      260.9   296.9    80.4   122.0   132.7   212.8   267.7   301.0   327.2   361.4   404.3   472.6   796.5  4147.3  9308.0  30110.0    30120
read      260.0   268.1    80.4   122.0   133.0   213.5   268.1   302.5   330.1   365.0   409.9   480.2   764.6  3505.4  8784.3  30105.8    30130
read      242.8   197.5    74.4   126.3   138.6   213.3   257.9   286.3   308.5   336.7   374.3   432.6   573.1  1786.7  8350.6  30213.7    30140
read      245.6   192.3    74.4   126.9   139.5   215.5   260.2   288.4   310.7   339.7   381.1   445.9   587.4  1893.6  8054.8  30158.1    30150
read      243.3   200.2    68.9   125.2   138.0   214.1   259.1   287.4   309.2   336.8   374.7   433.5   567.8  2004.8  9113.5  30161.6    30160
