Sun May  8 19:36:32 UTC 2022
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      251.2   194.1    80.4   129.3   142.8   225.3   270.1   296.7   317.6   343.5   378.7   433.9   573.4  1845.4  8054.0  29953.2    30000
read      258.2   294.3    80.4   124.1   136.1   222.2   273.8   305.1   328.8   358.5   397.1   459.9   657.8  2776.6 17692.6  29981.7    30010
read      265.9   300.2    74.4   121.9   132.8   220.1   277.0   312.8   340.6   373.9   418.3   490.5   778.3  4011.8 11692.7  30055.7    30020
read      264.1   360.7    74.4   121.1   131.7   215.6   272.2   307.4   335.5   370.3   415.9   490.7   734.4  4144.7 16386.9  29976.4    30030
read      252.3   305.8    74.4   120.3   130.8   209.6   260.0   290.1   313.7   343.9   386.2   453.2   701.9  4067.6 14139.9  30106.4    30040
read      249.0   324.0    80.4   122.0   132.7   210.8   258.5   287.1   309.1   336.9   373.9   434.4   673.7  3608.9 17921.9  30019.3    30050
read      250.1   296.1    80.4   121.3   132.3   213.9   262.7   291.9   314.5   342.6   380.8   441.7   649.6  3036.7 12851.9  30067.9    30060
read      247.6   233.4    74.4   122.0   133.0   213.9   260.8   288.6   310.2   337.7   374.3   434.4   649.7  2938.0  8204.3  30049.6    30070
read      246.4   298.3    80.4   121.6   132.4   211.8   257.8   285.6   306.5   332.6   367.8   424.2   617.9  3426.8 15108.7  30082.7    30080
read      248.2   238.4    80.4   120.8   131.4   213.2   263.1   292.2   314.1   341.3   376.6   434.0   657.0  3214.9  8342.4  30035.2    30090
read      254.9   282.0    80.4   121.7   132.6   212.6   262.2   292.0   315.1   343.8   382.7   446.3   792.8  3940.8  9639.7  30075.7    30100
read      252.7   277.2    80.4   122.6   133.5   210.5   257.0   285.7   308.3   337.2   375.8   438.7   791.8  3828.0  8492.5  30046.0    30110
read      255.3   283.3    80.4   122.6   133.8   212.7   260.7   290.1   313.3   342.7   383.4   451.2   850.2  3710.9 10749.1  30068.3    30120
read      250.9   288.1    80.4   122.9   134.0   209.8   255.3   283.3   305.2   332.9   370.6   433.0   752.0  3744.2 10658.5  30113.1    30130
read      241.7   190.1    80.4   127.1   140.2   216.0   256.0   281.1   300.4   325.5   361.6   420.2   567.8  1992.6  7940.7  30115.4    30140
read      237.4   178.6    74.4   128.1   140.8   214.1   252.5   276.3   295.1   318.8   353.1   406.3   530.5  1671.6  7608.3  30126.6    30150
