Sun May  8 18:46:46 UTC 2022
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      236.5   218.6    74.4   125.4   138.3   210.1   248.6   272.7   291.8   315.4   348.5   404.0   557.4  2117.9  9257.9  30007.6    30000
read      244.4   256.9    80.4   121.7   133.2   210.5   253.3   279.4   299.5   325.2   362.3   423.8   657.8  3093.6  9809.2  30006.4    30010
read      250.7   317.8    80.4   120.7   131.1   208.8   255.3   283.5   305.3   333.7   373.8   443.6   764.3  4211.5 11070.3  30066.1    30020
read      242.4   324.0    80.4   118.7   128.7   203.3   248.8   275.2   296.0   322.8   362.7   428.1   699.5  3797.3 13703.6  30019.5    30030
read      248.3   323.5    80.4   118.7   128.6   204.3   250.0   276.9   297.8   325.4   365.2   431.4   816.6  4719.9 12656.5  30065.2    30040
read      249.9   335.6    74.4   120.2   130.6   207.8   254.6   283.0   305.0   333.9   375.2   448.9   779.4  3647.1 14220.2  30070.2    30050
read      245.8   274.6    80.4   120.5   130.9   205.7   250.9   278.2   299.0   326.4   366.3   432.5   747.8  3780.6  9734.2  30147.6    30060
read      244.1   282.2    74.4   120.2   130.6   203.0   247.6   274.2   295.0   321.6   362.1   428.2   754.5  4035.2  9941.3  30077.7    30070
read      241.2   275.9    74.4   120.2   130.6   202.9   247.1   273.6   294.4   320.3   359.8   424.4   691.2  3386.1 10138.8  30078.6    30080
read      252.4   341.7    80.4   120.6   131.2   204.7   250.4   278.7   300.3   329.1   370.6   442.5   899.0  4467.5 13095.0  30112.3    30090
read      243.2   343.2    80.4   119.6   129.9   201.0   244.1   270.5   290.7   316.5   354.0   417.4   730.5  4388.7 16122.1  30105.7    30100
read      239.5   289.4    80.4   119.5   129.5   199.3   242.7   269.3   289.8   315.7   354.1   418.8   722.8  4042.9 10942.2  30118.3    30110
read      241.9   303.9    74.4   119.4   129.5   200.3   244.1   270.6   291.0   316.9   354.6   418.2   743.8  4178.0 10103.4  30060.8    30120
read      241.4   320.1    80.4   119.8   130.1   202.1   247.4   274.3   294.9   320.7   360.3   424.8   655.2  3851.6 14116.1  30101.7    30130
read      231.5   223.1    74.4   123.5   135.2   203.0   241.2   265.8   284.5   308.2   341.8   398.4   546.7  2469.5  9803.4  30143.6    30140
read      230.2   193.7    74.4   123.5   135.6   205.0   242.8   267.0   285.5   308.8   341.2   396.2   529.2  1898.0  8655.3  30080.6    30150
read      233.6   200.8    74.4   124.5   136.9   207.3   245.7   270.4   289.5   313.4   346.9   403.6   545.8  2028.3  8668.5  30146.8    30160
read      233.3   192.8    74.4   125.5   138.1   208.0   246.6   271.0   289.8   312.9   345.2   401.0   536.3  1792.0  8312.3  30143.7    30170
read      229.8   206.0    74.4   125.1   137.6   205.0   241.8   265.5   283.2   305.4   336.5   389.2   509.1  1865.9  9023.9  30172.7    30180
read      227.6   188.7    74.4   123.8   135.9   202.9   238.8   262.4   280.2   303.0   335.3   390.0   521.2  1909.5  8448.3  30141.2    30190
read      232.1   201.3    74.4   125.2   137.7   206.2   243.8   268.0   286.6   309.9   342.6   397.9   539.5  2088.7  8518.9  30167.9    30200
read      228.5   204.4    74.4   124.5   137.1   204.7   240.2   263.2   280.6   302.8   334.5   387.6   508.3  1927.2  8656.7  30207.0    30210
read      234.9   214.4    74.4   125.9   138.4   209.5   247.9   271.8   290.8   314.3   346.5   401.4   540.3  1967.9 10761.1  30283.4    30220
read      233.5   197.2    80.4   126.1   138.7   208.4   245.2   268.6   286.9   310.2   342.7   399.0   544.5  2107.0  8316.6  30229.4    30230
read      233.5   190.4    80.4   125.9   138.8   209.0   246.4   270.4   289.0   312.0   343.7   399.1   533.5  1810.6  8578.6  30201.2    30240
read      231.3   189.5    74.4   125.5   137.9   206.4   243.9   267.9   286.2   309.3   341.5   396.3   528.3  1774.7  8306.3  30251.1    30250
read      233.6   199.5    68.9   125.9   138.6   208.6   246.2   269.9   288.2   311.2   343.5   398.7   537.4  1998.6  8510.1  30251.3    30260
read      224.5   190.2    74.4   121.2   133.2   200.1   235.7   259.5   277.2   299.4   331.1   384.0   509.5  1679.4  8642.0  30283.8    30270
read      228.6   201.8    80.4   125.1   137.2   204.3   240.4   264.0   281.5   303.8   335.6   388.3   507.7  1841.3  8763.3  30330.4    30280
read      232.4   198.9    74.4   127.0   139.3   208.4   245.3   268.6   286.4   308.9   340.6   395.2   521.9  1731.7  8686.5  30287.7    30290
read      233.4   200.8    74.4   123.5   135.9   207.3   246.8   271.4   290.4   313.8   345.8   400.5   545.9  2078.0  8573.3  30329.9    30300
read      230.2   189.8    80.4   124.7   137.2   206.0   243.1   266.7   284.7   307.6   339.3   392.7   516.7  1903.0  8407.7  30306.7    30310
read      230.0   182.9    74.4   125.5   137.9   206.5   242.6   265.7   283.4   306.2   338.8   392.2   513.3  1883.9  8242.4  30255.7    30320
read      231.5   179.8    74.4   123.7   136.1   206.6   244.7   268.8   287.3   310.7   343.5   398.7   541.0  1849.9  8333.1  30308.6    30330
read      222.7   364.7    74.4   120.5   131.4   191.0   224.1   245.4   262.3   282.7   310.0   355.0   491.4  4923.1 15328.9  30351.3    30340
read      214.6   293.5    80.4   120.5   131.0   187.2   218.8   239.0   255.1   274.9   301.7   344.8   468.2  3751.8 12729.0  30226.6    30350
read      222.4   339.3    74.4   121.3   132.3   191.9   224.7   245.9   262.6   283.0   310.3   355.8   507.3  4326.2 12892.0  30321.2    30360
read      218.5   320.8    74.4   120.4   131.1   189.2   221.5   242.1   258.5   278.4   305.7   349.3   479.8  4251.4 12792.7  30363.0    30370
