workload;start;end;duration;duration_seconds
dedup;19:51:22;19:52:33;00:01:11;71
blackscholes;19:51:18;19:54:43;00:03:25;205
ferret;19:51:24;19:55:58;00:04:34;274
freqmine;19:51:19;19:54:41;00:03:22;202
canneal;19:51:17;19:55:07;00:03:50;230
fft;19:51:17;19:53:31;00:02:14;134
